Kernel checks passed; testing all 21 proposed representative pairs
21 exact negative tests completed; reducing 11768 candidates with 8 workers
913 / 11768 checked; 10.3s; class counts {1: 75, 2: 75, 3: 382, 4: 381}
1761 / 11768 checked; 20.3s; class counts {1: 75, 2: 75, 3: 807, 4: 804}
2569 / 11768 checked; 30.8s; class counts {1: 75, 2: 75, 3: 1210, 4: 1209}
3393 / 11768 checked; 40.8s; class counts {1: 75, 2: 75, 3: 1622, 4: 1621}
4177 / 11768 checked; 50.8s; class counts {1: 76, 2: 76, 3: 2013, 4: 2012}
5313 / 11768 checked; 62.5s; class counts {1: 76, 2: 76, 3: 2213, 4: 2213, 5: 641, 6: 49, 7: 45}
5649 / 11768 checked; 73.9s; class counts {1: 76, 2: 76, 3: 2218, 4: 2218, 5: 685, 6: 193, 7: 183}
6041 / 11768 checked; 84.1s; class counts {1: 76, 2: 76, 3: 2220, 4: 2221, 5: 813, 6: 321, 7: 314}
6401 / 11768 checked; 94.4s; class counts {1: 76, 2: 76, 3: 2225, 4: 2223, 5: 891, 6: 455, 7: 455}
6705 / 11768 checked; 104.6s; class counts {1: 76, 2: 76, 3: 2227, 4: 2226, 5: 969, 6: 557, 7: 574}
7017 / 11768 checked; 115.3s; class counts {1: 76, 2: 76, 3: 2231, 4: 2230, 5: 1021, 6: 681, 7: 702}
7409 / 11768 checked; 127.4s; class counts {1: 76, 2: 76, 3: 2236, 4: 2235, 5: 1113, 6: 832, 7: 841}
7809 / 11768 checked; 138.8s; class counts {1: 76, 2: 76, 3: 2238, 4: 2241, 5: 1223, 6: 971, 7: 984}
8193 / 11768 checked; 148.9s; class counts {1: 76, 2: 76, 3: 2240, 4: 2244, 5: 1336, 6: 1101, 7: 1120}
8585 / 11768 checked; 160.1s; class counts {1: 76, 2: 76, 3: 2243, 4: 2246, 5: 1424, 6: 1264, 7: 1256}
8937 / 11768 checked; 172.5s; class counts {1: 76, 2: 76, 3: 2247, 4: 2251, 5: 1505, 6: 1387, 7: 1395}
9281 / 11768 checked; 182.6s; class counts {1: 76, 2: 76, 3: 2253, 4: 2252, 5: 1565, 6: 1532, 7: 1527}
9777 / 11768 checked; 195.9s; class counts {1: 76, 2: 76, 3: 2259, 4: 2257, 5: 1742, 6: 1691, 7: 1676}
10225 / 11768 checked; 208.0s; class counts {1: 76, 2: 76, 3: 2262, 4: 2265, 5: 1870, 6: 1851, 7: 1825}
10641 / 11768 checked; 219.7s; class counts {1: 76, 2: 76, 3: 2269, 4: 2273, 5: 1982, 6: 1988, 7: 1977}
11001 / 11768 checked; 230.2s; class counts {1: 76, 2: 76, 3: 2275, 4: 2274, 5: 2093, 6: 2098, 7: 2109}
11481 / 11768 checked; 240.6s; class counts {1: 76, 2: 76, 3: 2279, 4: 2278, 5: 2255, 6: 2255, 7: 2262}
Completed: artifacts/build/ea-reduction-5.json counts [76, 76, 2284, 2284, 2328, 2360, 2360]
