Auditing all 48 Boolean classes and the six starting functions
Level 1: 48 distinct classes cover all 2^26 affine cosets; six selected
Level 2 seed 1: 20 orbit extensions, 9 pass capacity (0.42s)
Level 2 seed 2: 111 orbit extensions, 99 pass capacity (0.45s)
Level 2 seed 3: 179 orbit extensions, 175 pass capacity (0.44s)
Level 2 seed 4: 197 orbit extensions, 184 pass capacity (0.44s)
Level 2 seed 5: 2073 orbit extensions, 2047 pass capacity (0.41s)
Level 2 seed 6: 1048 orbit extensions, 1023 pass capacity (0.45s)
Classifying 3537 level-2 maps
Level 2: 1782 CCZ classes
Level 3 parent 1/1782: 4069 candidates, 1149 capacity, 0 extendable (0.40s)
Level 3 parent 2/1782: 4060 candidates, 1348 capacity, 0 extendable (0.38s)
Level 3 parent 3/1782: 4128 candidates, 1316 capacity, 0 extendable (0.32s)
Level 3 parent 4/1782: 4542 candidates, 1044 capacity, 0 extendable (0.42s)
Level 3 parent 5/1782: 3714 candidates, 640 capacity, 0 extendable (0.25s)
Level 3 parent 6/1782: 4912 candidates, 868 capacity, 112 extendable (0.44s)
Level 3 parent 7/1782: 2607 candidates, 431 capacity, 0 extendable (0.23s)
Level 3 parent 8/1782: 2391 candidates, 421 capacity, 0 extendable (0.23s)
Level 3 parent 9/1782: 2483 candidates, 904 capacity, 0 extendable (0.27s)
Level 3 parent 10/1782: 2516 candidates, 466 capacity, 0 extendable (0.29s)
Level 3 parent 11/1782: 2337 candidates, 679 capacity, 0 extendable (0.29s)
Level 3 parent 12/1782: 2472 candidates, 416 capacity, 0 extendable (0.33s)
Level 3 parent 13/1782: 2509 candidates, 870 capacity, 0 extendable (0.33s)
Level 3 parent 14/1782: 643 candidates, 60 capacity, 0 extendable (0.22s)
Level 3 parent 15/1782: 2730 candidates, 685 capacity, 0 extendable (0.34s)
Level 3 parent 16/1782: 2422 candidates, 242 capacity, 0 extendable (0.22s)
Level 3 parent 17/1782: 2940 candidates, 804 capacity, 0 extendable (0.28s)
Level 3 parent 18/1782: 3686 candidates, 1758 capacity, 0 extendable (0.45s)
Level 3 parent 19/1782: 2399 candidates, 310 capacity, 0 extendable (0.21s)
Level 3 parent 20/1782: 2472 candidates, 1370 capacity, 0 extendable (0.47s)
Level 3 parent 21/1782: 2360 candidates, 428 capacity, 0 extendable (0.23s)
Level 3 parent 22/1782: 2435 candidates, 740 capacity, 0 extendable (0.30s)
Level 3 parent 23/1782: 2032 candidates, 352 capacity, 0 extendable (0.23s)
Level 3 parent 24/1782: 2600 candidates, 918 capacity, 0 extendable (0.27s)
Level 3 parent 25/1782: 2348 candidates, 537 capacity, 0 extendable (0.25s)
Level 3 parent 26/1782: 634 candidates, 236 capacity, 0 extendable (0.25s)
Level 3 parent 27/1782: 2535 candidates, 698 capacity, 0 extendable (0.28s)
Level 3 parent 28/1782: 2489 candidates, 928 capacity, 0 extendable (0.27s)
Level 3 parent 29/1782: 2352 candidates, 729 capacity, 0 extendable (0.27s)
Level 3 parent 30/1782: 670 candidates, 186 capacity, 0 extendable (0.22s)
Level 3 parent 31/1782: 2354 candidates, 282 capacity, 0 extendable (0.23s)
Level 3 parent 32/1782: 2423 candidates, 761 capacity, 0 extendable (0.26s)
Level 3 parent 33/1782: 2320 candidates, 692 capacity, 0 extendable (0.30s)
Level 3 parent 34/1782: 988 candidates, 192 capacity, 0 extendable (0.22s)
Level 3 parent 35/1782: 2677 candidates, 188 capacity, 0 extendable (0.22s)
Level 3 parent 36/1782: 686 candidates, 252 capacity, 0 extendable (0.23s)
Level 3 parent 37/1782: 2777 candidates, 1338 capacity, 0 extendable (0.41s)
Level 3 parent 38/1782: 2631 candidates, 823 capacity, 0 extendable (0.28s)
Level 3 parent 39/1782: 2263 candidates, 524 capacity, 0 extendable (0.24s)
Level 3 parent 40/1782: 2838 candidates, 720 capacity, 0 extendable (0.27s)
Level 3 parent 41/1782: 2597 candidates, 269 capacity, 0 extendable (0.25s)
Level 3 parent 42/1782: 2533 candidates, 882 capacity, 0 extendable (0.32s)
Level 3 parent 43/1782: 683 candidates, 146 capacity, 0 extendable (0.22s)
Level 3 parent 44/1782: 2290 candidates, 397 capacity, 0 extendable (0.30s)
Level 3 parent 45/1782: 707 candidates, 179 capacity, 0 extendable (0.25s)
Level 3 parent 46/1782: 2379 candidates, 397 capacity, 0 extendable (0.26s)
Level 3 parent 47/1782: 2612 candidates, 617 capacity, 0 extendable (0.34s)
Level 3 parent 48/1782: 2547 candidates, 220 capacity, 0 extendable (0.23s)
Level 3 parent 49/1782: 2064 candidates, 144 capacity, 0 extendable (0.22s)
Level 3 parent 50/1782: 2367 candidates, 754 capacity, 0 extendable (0.28s)
Level 3 parent 51/1782: 2455 candidates, 435 capacity, 0 extendable (0.27s)
Level 3 parent 52/1782: 2307 candidates, 208 capacity, 0 extendable (0.22s)
Level 3 parent 53/1782: 2256 candidates, 80 capacity, 0 extendable (0.23s)
Level 3 parent 54/1782: 2606 candidates, 358 capacity, 0 extendable (0.23s)
Level 3 parent 55/1782: 2150 candidates, 215 capacity, 0 extendable (0.23s)
Level 3 parent 56/1782: 1951 candidates, 106 capacity, 0 extendable (0.21s)
Level 3 parent 57/1782: 2690 candidates, 672 capacity, 0 extendable (0.25s)
Level 3 parent 58/1782: 615 candidates, 118 capacity, 0 extendable (0.23s)
Level 3 parent 59/1782: 2371 candidates, 448 capacity, 0 extendable (0.24s)
Level 3 parent 60/1782: 634 candidates, 247 capacity, 0 extendable (0.26s)
Level 3 parent 61/1782: 2664 candidates, 591 capacity, 0 extendable (0.33s)
Level 3 parent 62/1782: 2796 candidates, 592 capacity, 0 extendable (0.31s)
Level 3 parent 63/1782: 2460 candidates, 624 capacity, 0 extendable (0.29s)
Level 3 parent 64/1782: 618 candidates, 190 capacity, 0 extendable (0.26s)
Level 3 parent 65/1782: 2545 candidates, 484 capacity, 0 extendable (0.26s)
Level 3 parent 66/1782: 2262 candidates, 600 capacity, 0 extendable (0.31s)
Level 3 parent 67/1782: 2514 candidates, 475 capacity, 0 extendable (0.33s)
Level 3 parent 68/1782: 2504 candidates, 810 capacity, 0 extendable (0.29s)
Level 3 parent 69/1782: 3901 candidates, 436 capacity, 37 extendable (0.24s)
Level 3 parent 70/1782: 2669 candidates, 634 capacity, 0 extendable (0.27s)
